Month,1961-1990_x,2020_x,1991-2020_x,WMO1DiffTemp,WMO2DiffTemp,1961-1990_y,2020_y,1991-2020_y,WMO1DiffPrec,WMO2DiffPrec,Year,Station,2021_x,2021_y,2022_x,2022_y,2023_x,2023_y
1,-13.888475,-7.2445335,-10.939791,6.643942,3.6952572,0.0023889614,0.0048315194,0.0028187677,0.002442558,0.0020127518,2020,Abisko Scientific Research Station,,,,,,
2,-12.943177,-8.499238,-11.1341915,4.443939,2.6349535,0.002416502,0.002861268,0.0025188662,0.0004447659,0.00034240168,2020,Abisko Scientific Research Station,,,,,,
3,-10.324902,-7.4248767,-8.512177,2.900025,1.0873008,0.0018073614,0.004039109,0.0024069834,0.0022317478,0.0016321258,2020,Abisko Scientific Research Station,,,,,,
4,-5.473047,-4.9907937,-3.8094723,0.48225307,-1.1813214,0.0019718867,0.002572485,0.0019243843,0.0006005983,0.00064810074,2020,Abisko Scientific Research Station,,,,,,
5,0.37084234,-0.39369184,0.90595216,-0.7645342,-1.299644,0.0018040237,0.0020755671,0.002138128,0.0002715434,-6.2560895e-05,2020,Abisko Scientific Research Station,,,,,,
6,4.935211,7.0493135,5.9359508,2.1141024,1.1133628,0.0022434732,0.0012708983,0.0030562067,-0.0009725749,-0.0017853085,2020,Abisko Scientific Research Station,,,,,,
7,8.783009,8.839,10.255665,0.055991173,-1.4166651,0.0035518731,0.005194885,0.0039789523,0.001643012,0.0012159329,2020,Abisko Scientific Research Station,,,,,,
8,7.4330196,8.45522,8.656641,1.0222006,-0.20142078,0.003005203,0.003628387,0.0032575978,0.000623184,0.00037078932,2020,Abisko Scientific Research Station,,,,,,
9,2.2838364,4.1484275,4.132776,1.8645911,0.015651703,0.0028863354,0.004768421,0.0032862267,0.0018820856,0.0014821943,2020,Abisko Scientific Research Station,,,,,,
10,-2.9389684,-0.6163717,-1.811567,2.3225968,1.1951952,0.0034363687,0.0022404753,0.002772405,-0.0011958934,-0.0005319298,2020,Abisko Scientific Research Station,,,,,,
11,-8.3603525,-2.5940986,-6.255414,5.766254,3.6613154,0.0026091142,0.0041920166,0.0023670509,0.0015829024,0.0018249657,2020,Abisko Scientific Research Station,,,,,,
12,-12.3847,-6.8761497,-9.053757,5.50855,2.177607,0.002547525,0.0013942567,0.0027296124,-0.0011532684,-0.0013353557,2020,Abisko Scientific Research Station,,,,,,
1,-13.888475,,-10.939791,1.2446423,-1.7040424,0.0023889614,,0.0028187677,-0.001489945,-0.0019197513,2021,Abisko Scientific Research Station,-12.643833,0.00089901633,,,,
2,-12.943177,,-11.1341915,2.7548704,0.9458847,0.002416502,,0.0025188662,0.00047147623,0.000369112,2021,Abisko Scientific Research Station,-10.188307,0.0028879782,,,,
3,-10.324902,,-8.512177,3.5180302,1.705306,0.0018073614,,0.0024069834,0.0021183249,0.0015187028,2021,Abisko Scientific Research Station,-6.8068714,0.0039256862,,,,
4,-5.473047,,-3.8094723,1.3075433,-0.35603118,0.0019718867,,0.0019243843,0.00095518935,0.0010026918,2021,Abisko Scientific Research Station,-4.1655035,0.002927076,,,,
5,0.37084234,,0.90595216,-0.82831407,-1.3634238,0.0018040237,,0.002138128,-0.00031737715,-0.00065148144,2021,Abisko Scientific Research Station,-0.45747173,0.0014866466,,,,
6,4.935211,,5.9359508,3.0488076,2.048068,0.0022434732,,0.0030562067,0.00074850814,-6.42254e-05,2021,Abisko Scientific Research Station,7.984019,0.0029919813,,,,
7,8.783009,,10.255665,2.4510365,0.9783802,0.0035518731,,0.0039789523,0.00018516253,-0.00024191663,2021,Abisko Scientific Research Station,11.234045,0.0037370357,,,,
8,7.4330196,,8.656641,0.35581112,-0.86781025,0.003005203,,0.0032575978,-8.8191824e-05,-0.00034058653,2021,Abisko Scientific Research Station,7.7888308,0.0029170113,,,,
9,2.2838364,,4.132776,1.004112,-0.8448274,0.0028863354,,0.0032862267,0.00016977685,-0.00023011444,2021,Abisko Scientific Research Station,3.2879484,0.0030561122,,,,
10,-2.9389684,,-1.811567,1.6435606,0.5161592,0.0034363687,,0.002772405,0.00094313757,0.0016071012,2021,Abisko Scientific Research Station,-1.2954078,0.004379506,,,,
11,-8.3603525,,-6.255414,1.5826216,-0.52231693,0.0026091142,,0.0023670509,-0.00083871733,-0.000596654,2021,Abisko Scientific Research Station,-6.777731,0.0017703968,,,,
12,-12.3847,,-9.053757,0.094955444,-3.2359877,0.002547525,,0.0027296124,-0.00048808753,-0.00067017484,2021,Abisko Scientific Research Station,-12.289744,0.0020594376,,,,
1,-13.888475,,-10.939791,4.3049784,1.3562937,0.0023889614,,0.0028187677,0.0029985744,0.002568768,2022,Abisko Scientific Research Station,,,-9.583497,0.005387536,,
2,-12.943177,,-11.1341915,1.1669712,-0.6420145,0.002416502,,0.0025188662,-0.00035164482,-0.00045400904,2022,Abisko Scientific Research Station,,,-11.776206,0.0020648572,,
3,-10.324902,,-8.512177,5.933419,4.120695,0.0018073614,,0.0024069834,0.0025552409,0.0019556188,2022,Abisko Scientific Research Station,,,-4.3914824,0.0043626023,,
4,-5.473047,,-3.8094723,1.755652,0.09207749,0.0019718867,,0.0019243843,0.00043814187,0.00048564433,2022,Abisko Scientific Research Station,,,-3.7173948,0.0024100286,,
5,0.37084234,,0.90595216,0.729895,0.19478518,0.0018040237,,0.002138128,0.0014754499,0.0011413456,2022,Abisko Scientific Research Station,,,1.1007373,0.0032794736,,
6,4.935211,,5.9359508,1.6236567,0.6229172,0.0022434732,,0.0030562067,9.776559e-06,-0.000802957,2022,Abisko Scientific Research Station,,,6.558868,0.0022532498,,
7,8.783009,,10.255665,1.1578436,-0.31481266,0.0035518731,,0.0039789523,0.001790113,0.0013630339,2022,Abisko Scientific Research Station,,,9.940852,0.005341986,,
8,7.4330196,,8.656641,1.6742954,0.45067406,0.003005203,,0.0032575978,0.0024384635,0.0021860688,2022,Abisko Scientific Research Station,,,9.107315,0.0054436666,,
9,2.2838364,,4.132776,1.8316011,-0.017338276,0.0028863354,,0.0032862267,-0.0005445669,-0.0009444582,2022,Abisko Scientific Research Station,,,4.1154375,0.0023417685,,
10,-2.9389684,,-1.811567,3.0082307,1.8808293,0.0034363687,,0.002772405,0.00013872655,0.00080269016,2022,Abisko Scientific Research Station,,,0.069262326,0.0035750952,,
11,-8.3603525,,-6.255414,3.4982185,1.39328,0.0026091142,,0.0023670509,-0.0012468584,-0.0010047951,2022,Abisko Scientific Research Station,,,-4.862134,0.0013622558,,
12,-12.3847,,-9.053757,2.1502085,-1.1807346,0.002547525,,0.0027296124,-0.00092255184,-0.0011046391,2022,Abisko Scientific Research Station,,,-10.234491,0.0016249733,,
1,-13.888475,,-10.939791,5.3892374,2.4405527,0.0023889614,,0.0028187677,9.474694e-05,-0.00033505936,2023,Abisko Scientific Research Station,,,,,-8.499238,0.0024837083
2,-12.943177,,-11.1341915,5.998849,4.189863,0.002416502,,0.0025188662,0.0023575963,0.002255232,2023,Abisko Scientific Research Station,,,,,-6.9443283,0.0047740983
3,-10.324902,,-8.512177,-1.8152895,-3.6280136,0.0018073614,,0.0024069834,0.00029685185,-0.00030277018,2023,Abisko Scientific Research Station,,,,,-12.140191,0.0021042132
4,-5.473047,,-3.8094723,2.752488,1.0889134,0.0019718867,,0.0019243843,0.00071905344,0.0007665559,2023,Abisko Scientific Research Station,,,,,-2.720559,0.0026909402
5,0.37084234,,0.90595216,0.95697355,0.42186373,0.0018040237,,0.002138128,0.0017300381,0.0013959338,2023,Abisko Scientific Research Station,,,,,1.3278159,0.0035340618
6,4.935211,,5.9359508,3.2912817,2.2905421,0.0022434732,,0.0030562067,0.0006506988,-0.00016203476,2023,Abisko Scientific Research Station,,,,,8.226493,0.002894172
1,-20.646494,-19.757622,-16.369455,0.88887215,-3.3881664,0.0013172094,0.0011047056,0.001794698,-0.00021250383,-0.00068999233,2020,Adam Mickiewicz University Polar Station,,,,,,
2,-20.655128,-23.142916,-16.897001,-2.4877872,-6.2459145,0.0013880159,0.0008682845,0.0015415247,-0.00051973143,-0.00067324017,2020,Adam Mickiewicz University Polar Station,,,,,,
3,-20.134565,-25.113209,-17.413313,-4.9786434,-7.699896,0.001516649,0.000926467,0.0014799068,-0.000590182,-0.00055343984,2020,Adam Mickiewicz University Polar Station,,,,,,
4,-16.224812,-14.93346,-13.57393,1.2913513,-1.3595304,0.0011034397,0.0013487032,0.0011040452,0.00024526345,0.00024465797,2020,Adam Mickiewicz University Polar Station,,,,,,
5,-7.737149,-3.8602412,-5.620117,3.8769076,1.759876,0.0009689756,0.001177361,0.0010506059,0.0002083854,0.0001267551,2020,Adam Mickiewicz University Polar Station,,,,,,
6,-0.9732144,1.5873123,0.68906844,2.5605268,0.8982439,0.00109869,0.0012411772,0.0009165077,0.00014248723,0.00032466953,2020,Adam Mickiewicz University Polar Station,,,,,,
7,2.4477026,5.292161,3.9213378,2.8444583,1.3708231,0.0012400731,0.0012479764,0.0011449284,7.90332e-06,0.00010304805,2020,Adam Mickiewicz University Polar Station,,,,,,
8,1.0394914,3.5744848,2.4236052,2.5349934,1.1508796,0.0014356597,0.0020500016,0.0013699493,0.00061434193,0.0006800523,2020,Adam Mickiewicz University Polar Station,,,,,,
9,-3.5704308,-0.23746388,-1.4752655,3.3329668,1.2378017,0.0018012447,0.0024805912,0.0018432643,0.0006793465,0.00063732686,2020,Adam Mickiewicz University Polar Station,,,,,,
10,-10.94957,-5.7601037,-8.830307,5.189466,3.0702033,0.0017475788,0.000588445,0.0016738032,-0.0011591339,-0.0010853582,2020,Adam Mickiewicz University Polar Station,,,,,,
